gene,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
FAM60A,8.750382285,12.03929363,37.72237762,28.9017119,13.52911682,17.03191216,21.27741753,62.22998851,48.45599058,58.74850842
FAM63A,14.02699472,16.0816842,6.479917628,17.07247141,11.58481261,12.73784956,13.37437673,7.034173785,4.272963776,7.656538157
FAM63B,24.05255834,25.92402644,14.51369306,10.32660724,15.14937033,12.37700397,12.96909259,5.357945139,25.81218934,10.12404808
FAM64A,0.04397177,0.219695139,0.495912063,0.735331166,0.972152107,0.902113992,0.729511458,1.915689882,1.714999067,2.8848094
FAM65A,31.30790044,38.27089327,26.81231223,8.760032146,22.31899212,14.83075402,14.83339965,17.3310069,29.99794978,17.10927839
FAM65B,5.408527744,5.712073622,87.5780704,15.18618712,16.81013018,6.386967061,17.99461597,1.586430684,7.121606294,1.542193705
FAM65C,4.529092338,9.578708074,3.801992486,3.452859386,4.860760535,4.221893481,3.404386804,0.808181669,0.37788115,1.759915169
FAM69A,13.71919233,20.12407476,11.10843022,8.600177545,5.630380952,6.386967061,4.944466549,6.285857425,4.302031557,6.168774819
FAM69B,3.693628703,2.548463616,1.520796994,0.799273006,2.065823227,0.757775753,1.377966087,0.089797963,0.406948931,0.090717277
FAM71F2,2.110644973,4.130268619,0.62815528,0.735331166,1.782278863,0.505183835,1.013210358,0.688451051,0.523220054,0.562447116
FAM72A,0.418611253,0,5.870276399,1.433895773,0.619746968,0.308883831,0.48026171,2.856173883,2.562615555,2.907851589
FAM72B,0.131475593,0,6.48818283,1.753604975,0.622987475,0.898505536,0.909052334,0.189773029,0.312187966,1.905607115
FAM72C,0.163574985,0.263634167,3.522959298,1.165020334,1.391797766,0.693545237,0.809757718,1.518184231,0.201149043,0.429092719
FAM72D,0.473136248,0,5.4428002,1.785895605,0.322025385,0.51709174,1.043201385,2.260514061,1.83650239,2.232552181
FAM73A,22.90929231,19.46498934,13.12513928,14.64268147,16.9316492,15.33593786,13.90124612,11.34447602,23.48676688,10.61392138
FAM73B,11.78443443,13.0938303,11.93495033,16.49699484,12.92152175,15.37202242,19.12941157,11.58393726,4.912454954,12.01096744
