circRNA,C1,C2,C3,C4,C5,T1,T2,T3,T4,T5
hsa_circ_0013321,0.044359788,0.131784813,0.078521584,0.081077766,0.212780379,0,0,0.052306777,0.180444109,0.149920344
hsa_circ_0013322,0.236585536,0.131784813,0.078521584,0.162155532,0.10639019,0.100237832,0.052480811,0.052306777,0.270666163,0.074960172
hsa_circ_0013323,0.22179894,0.19767722,0.20939089,0.081077766,0.212780379,0.133650443,0.157442432,0.15692033,0.135333081,0.049973448
hsa_circ_0013324,0.014786596,0.021964136,0.20939089,0.040538883,0,0.033412611,0.052480811,0.31384066,0.045111027,0.174907068
hsa_circ_0000097,0.014786596,0.109820678,0.104695445,0.364849947,0.141853586,0.634839604,0.472327295,0.15692033,0.045111027,0.049973448
hsa_circ_0110173,0,0,0,0.121616649,0.070926793,0.133650443,0,0.104613553,0.135333081,0
hsa_circ_0110174,0.103506172,0.241605491,0.026173861,0.040538883,0.141853586,0.066825221,0,0,0,0
hsa_circ_0110175,0.251372132,0.373390304,0.052347722,0.162155532,0.177316983,0.200475664,0.052480811,0,0,0
hsa_circ_0013325,0.310518516,0.329462033,0.078521584,0.121616649,0.070926793,0.100237832,0.367365674,0.052306777,0.045111027,0
hsa_circ_0013326,0.088719576,0.021964136,0.157043167,0.121616649,0.035463397,0.033412611,0,0,0.135333081,0.024986724
hsa_circ_0013327,0.162652556,0.065892407,0.026173861,0.040538883,0.141853586,0.100237832,0.209923242,0,0.135333081,0.049973448
hsa_circ_0110176,0.059146384,0,0.157043167,0.162155532,0,0.033412611,0,0,0.135333081,0.049973448
hsa_circ_0009683,0,0,0.026173861,0.081077766,0.177316983,0.133650443,0.157442432,0.15692033,0,0
hsa_circ_0009684,0.088719576,0.065892407,0.130869306,0.040538883,0.212780379,0,0,0.052306777,0.31577719,0.12493362
hsa_circ_0013328,0.133079364,0.131784813,0.078521584,0.081077766,0.070926793,0.066825221,0,0.104613553,0,0.099946896
hsa_circ_0013329,0.118292768,0.109820678,0.130869306,0.162155532,0.177316983,0.066825221,0,0.209227106,0.045111027,0.174907068
hsa_circ_0110177,0.029573192,0.087856542,0.052347722,0.081077766,0.10639019,0,0,0.052306777,0.045111027,0.049973448
hsa_circ_0013330,0.310518516,0.241605491,0.157043167,0.202694415,0.141853586,0.033412611,0.157442432,0,0.225555136,0.12493362
hsa_circ_0013331,0.325305112,0.329462033,0.157043167,0.121616649,0.283707172,0.033412611,0.262404053,0.052306777,0,0.049973448
hsa_circ_0009685,0.7393298,0.658924065,0.235564751,0.567544363,0.461024155,0.334126107,0.629769727,0.418454213,0.270666163,0.474747755
hsa_circ_0013332,0.162652556,0.153748949,0.078521584,0.283772181,0.070926793,0.267300886,0.052480811,0.052306777,0.090222054,0.12493362
hsa_circ_0013333,0.162652556,0.065892407,0.052347722,0.081077766,0.070926793,0.133650443,0.209923242,0.104613553,0.045111027,0.024986724
hsa_circ_0013334,0.14786596,0.043928271,0.078521584,0.081077766,0.141853586,0.100237832,0,0.104613553,0.045111027,0.349814135
hsa_circ_0013335,0.103506172,0.131784813,0.340260196,0.040538883,0,0.033412611,0.157442432,0.366147436,0.360888217,0.474747755
hsa_circ_0013336,0.088719576,0.153748949,0.235564751,0.283772181,0.141853586,0.100237832,0.209923242,0.261533883,0,0.449761031
hsa_circ_0110178,3.474850062,3.27265619,2.14625662,1.540477555,2.198730586,1.403329651,1.679385939,1.516896521,1.804441085,1.724083952
hsa_circ_0013337,0.088719576,0.021964136,0.104695445,0.162155532,0,0.133650443,0.104961621,0.052306777,0.135333081,0.074960172
hsa_circ_0013338,0.014786596,0.043928271,0.078521584,0.081077766,0,0,0.209923242,0.15692033,0.135333081,0.099946896
hsa_circ_0013339,0.133079364,0.087856542,0.130869306,0.081077766,0.035463397,0.100237832,0.104961621,0.104613553,0,0.049973448
hsa_circ_0013340,0.029573192,0.109820678,0.026173861,0.040538883,0.141853586,0,0.157442432,0.104613553,0.045111027,0.099946896
hsa_circ_0000098,0.22179894,0.241605491,0.104695445,0.040538883,0.10639019,0.100237832,0.104961621,0.052306777,0,0.024986724
hsa_circ_0013341,0.22179894,0.175713084,0.052347722,0,0.141853586,0.133650443,0.052480811,0,0,0
hsa_circ_0013342,0.044359788,0.043928271,0.183217029,0.202694415,0.141853586,0.033412611,0,0,0.045111027,0.099946896
hsa_circ_0013343,0.07393298,0.109820678,0.104695445,0.364849947,0.070926793,0.100237832,0.052480811,0.261533883,0.090222054,0.049973448
hsa_circ_0013344,0.162652556,0.109820678,0.026173861,0.040538883,0.070926793,0.233888275,0.157442432,0.209227106,0.180444109,0.049973448
hsa_circ_0110179,0.029573192,0.021964136,0.20939089,0,0.10639019,0.167063054,0.524808106,0,0,0
hsa_circ_0013345,0.029573192,0.087856542,0.183217029,0.283772181,0.283707172,0.267300886,0.629769727,0.261533883,0.045111027,0.074960172
hsa_circ_0013346,0.029573192,0.021964136,0.157043167,0.081077766,0.354633965,0.200475664,0.209923242,0.104613553,0.090222054,0.149920344
hsa_circ_0013347,0.059146384,0.109820678,0.026173861,0.040538883,0.10639019,0.066825221,0.052480811,0.15692033,0.045111027,0.024986724
hsa_circ_0013348,0.133079364,0,0.078521584,0,0.035463397,0.133650443,0.052480811,0,0.045111027,0.12493362
hsa_circ_0013349,0.044359788,0.043928271,0.20939089,0,0.10639019,0.100237832,0,0.052306777,0.135333081,0.024986724
hsa_circ_0013350,0.088719576,0.021964136,0.026173861,0,0.141853586,0.167063054,0.524808106,0.104613553,0.225555136,0.12493362
hsa_circ_0013351,0.059146384,0,0,0,0.070926793,0.200475664,0,0.15692033,0.135333081,0
hsa_circ_0110180,0.029573192,0.109820678,0.523477224,0.162155532,0,0.066825221,0.157442432,0.15692033,0.045111027,0
hsa_circ_0013352,0.118292768,0.153748949,0.235564751,0.081077766,0.177316983,0.033412611,0.157442432,0.104613553,0.180444109,0.074960172
hsa_circ_0013353,0.014786596,0,0.104695445,0.162155532,0.035463397,0,0.104961621,0.104613553,0.045111027,0.149920344
hsa_circ_0110181,0.088719576,0.131784813,0.052347722,0.081077766,0.212780379,0.200475664,0.104961621,0.052306777,0.135333081,0.12493362
hsa_circ_0013354,0.044359788,0.153748949,0.078521584,0.081077766,0.10639019,0,0.209923242,0,0.225555136,0
hsa_circ_0110182,0.236585536,0.109820678,0.235564751,0.040538883,0.070926793,0.033412611,0.262404053,0.209227106,0.270666163,0.224880515
hsa_circ_0110183,0.103506172,0.065892407,0.078521584,0.081077766,0.212780379,0,0.104961621,0.052306777,0.090222054,0.12493362
hsa_circ_0110184,0.044359788,0.043928271,0.104695445,0,0.035463397,0.066825221,0.104961621,0.052306777,0.135333081,0.099946896
hsa_circ_0110185,0,0.021964136,0.026173861,0.081077766,0.035463397,0.100237832,0,0.15692033,0.090222054,0.024986724
hsa_circ_0110186,0.088719576,0.065892407,0.235564751,0.081077766,0.10639019,0.033412611,0,0.209227106,0.270666163,0.12493362
hsa_circ_0013355,0.192225748,0.19767722,0.183217029,0.121616649,0.319170569,0,0.104961621,0.31384066,0.31577719,0.374800859
hsa_circ_0005199,0.059146384,0.065892407,0.20939089,0.162155532,0.070926793,0.100237832,0,0.15692033,0.090222054,0.024986724
hsa_circ_0110187,0.044359788,0.109820678,0.314086335,0.040538883,0.141853586,0.033412611,0.052480811,0.15692033,0.586443353,0.149920344
hsa_circ_0110188,0.103506172,0.087856542,0,0.040538883,0.177316983,0.100237832,0,0.104613553,0.045111027,0
hsa_circ_0110189,0.014786596,0.021964136,0.104695445,0.283772181,0.177316983,0.133650443,0.262404053,0,0.090222054,0.199893791
hsa_circ_0110190,0.14786596,0.175713084,0.078521584,0.121616649,0.035463397,0.033412611,0,0,0,0
hsa_circ_0009686,0.103506172,0.065892407,0.261738612,0.162155532,0,0.033412611,0,0.052306777,0.180444109,0.099946896
hsa_circ_0009687,0.014786596,0,0.078521584,0.121616649,0.035463397,0.066825221,0.052480811,0.052306777,0.135333081,0.149920344
hsa_circ_0009688,2.617227494,3.031050699,0.523477224,0.567544363,0.81565812,0.835315268,0.524808106,0.209227106,0.902220543,0.424774307
hsa_circ_0009689,0.103506172,0.087856542,0,0,0,0.066825221,0.262404053,0.052306777,0.045111027,0
hsa_circ_0110191,0.059146384,0.065892407,0.052347722,0.040538883,0.070926793,0.100237832,0.157442432,0.209227106,0.270666163,0
hsa_circ_0007962,0.280945324,0.241605491,0.026173861,0.121616649,0.10639019,0,0.157442432,0,0.090222054,0.12493362
hsa_circ_0110192,0.029573192,0.043928271,0.104695445,0,0.10639019,0,0,0.052306777,0.045111027,0.099946896
hsa_circ_0009690,0.133079364,0.153748949,0.026173861,0.081077766,0.141853586,0,0.052480811,0.052306777,0.135333081,0.12493362
hsa_circ_0009691,0.103506172,0.021964136,0.104695445,0,0.070926793,0.133650443,0.157442432,0.366147436,0.045111027,0.049973448
hsa_circ_0110193,0.754116396,0.43928271,0.680520392,0.486466596,0.81565812,0.434363939,0.367365674,0.470760989,0.63155438,0.399787583
hsa_circ_0009692,0.059146384,0.065892407,0,0,0.141853586,0.033412611,0,0.104613553,0.225555136,0.374800859
hsa_circ_0009693,0.059146384,0.065892407,0.078521584,0,0.248243776,0,0.262404053,0,0.135333081,0.074960172
hsa_circ_0009694,0.29573192,0.241605491,0.130869306,0.121616649,0.177316983,0.100237832,0.157442432,0.209227106,0.180444109,0.049973448
hsa_circ_0009695,0.192225748,0.087856542,0.026173861,0.162155532,0,0.033412611,0.157442432,0,0,0
hsa_circ_0009696,0.251372132,0.241605491,0.052347722,0.121616649,0.10639019,0.100237832,0.314884863,0,0.090222054,0.049973448
hsa_circ_0110194,0.044359788,0.043928271,0.026173861,0.162155532,0.212780379,0.100237832,0.052480811,0.15692033,0.360888217,0.024986724
hsa_circ_0009697,0.133079364,0.109820678,0.052347722,0.121616649,0.035463397,0.033412611,0.209923242,0.15692033,0.090222054,0.074960172
hsa_circ_0110195,0,0.043928271,0.026173861,0,0.070926793,0.200475664,0.104961621,0.31384066,0.090222054,0.12493362
hsa_circ_0110196,0.014786596,0.043928271,0.104695445,0.040538883,0.10639019,0,0.052480811,0.052306777,0,0.049973448
